aérodynamicien aérodynamicienne 
maïsiculteur maïsicultrice 
maitre maitre maitresse 
major majore
majordome majordome 
malacologue malacologue 
malaxeur malaxeuse 
malletier malletière 
malteur malteuse 
manadier manadière 
manager manageur
manageur manageuse 
manchonnier manchonnière 
mandataire mandataire 
manipulateur manipulatrice 
mannequin mannequine
manœuvre manœuvre 
manœuvrier manœuvrière 
manucure manucure 
manutentionnaire manutentionnaire 
maquettiste maquettiste 
maquignon maquignonne 
maquilleur maquilleuse 
maraicher maraichère 
marathonien marathonienne 
marbreur marbreuse 
marbrier marbrière 
marchand marchande 
marchandiseur marchandiseuse 
maréchal maréchale 
maréchal-ferrant maréchale-ferrante 
margeur margeuse 
marguillier marguillière 
mariculteur maricultrice 
marin marine
marinier marinière 
marionnettiste marionnettiste 
marmiton marmitonne 
maroquinier maroquinière 
marqueteur marqueteuse 
marqueur marqueuse 
marquis marquise 
marteleur marteleuse 
martineur martineuse 
masselotteur masselotteuse 
masseur masseuse 
massicoteur massicoteuse 
massicotier massicotière 
mastiqueur mastiqueuse 
mastologue mastologue 
matelasseur matelasseuse 
matelassier matelassière 
matelot matelote
mateur mateuse 
mathématicien mathématicienne 
matriceur matriceuse 
mécanicien mécanicienne 
mécanographe mécanographe 
mécatronicien mécatronicienne 
médailleur médailleuse 
médecin médecin
médialogue médialogue 
média-planneur média-planneuse 
médiateur médiatrice 
mégissier mégissière 
mélangeur mélangeuse 
mémorialiste mémorialiste 
meneur meneuse 
menuisier menuisière 
mercaticien mercaticienne 
merceriseur merceriseuse 
merchandiseur merchandiseuse 
mercier mercière 
mésomorphiste mésomorphiste 
mesureur mesureuse 
métallier métallière 
métalliseur métalliseuse 
métallogéniste métallogéniste 
métallographe métallographe 
métallurgiste métallurgiste 
métayer métayère 
météorologiste météorologiste 
météorologue météorologue 
métreur métreuse 
métrologiste métrologiste 
métrologue métrologue 
metteur metteuse 
meuleur meuleuse 
meunier meunière 
militaire militaire 
mime mime 
minérallurgiste minérallurgiste 
minéralogiste minéralogiste 
mineur mineuse 
miniaturiste miniaturiste 
minime minime 
ministre ministre 
mireur mireuse 
miroitier miroitière 
missilier missilière 
missionnaire missionnaire 
mitronnier mitronnière 
mixeur mixeuse 
modèle modèle 
modeleur modeleuse 
modélisateur modélisatrice 
modéliste modéliste 
modiste modiste 
moellonneur moellonneuse 
moine moniale
moireur moireuse 
monétariste monétariste 
moniteur monitrice 
monotypiste monotypiste 
monteur monteuse 
moquettiste moquettiste 
mortaiseur mortaiseuse 
mosaïqueur mosaïqueuse 
mosaïste mosaïste 
motard motarde 
motociste motociste 
motoriste motoriste 
moufletier moufletière 
mouleur mouleuse 
moulineur moulineuse 
moulinier moulinière 
mouliste mouliste 
mousse mousse 
moutonnier moutonnière 
musicien musicienne 
musicologue musicologue 
mycologue mycologue 
mytiliculteur mytilicultrice 
nacellier nacellière 
nacreur nacreuse 
nageur nageuse 
naisseur naisseuse 
nappeur nappeuse 
narrateur narratrice 
naturaliste naturaliste 
naturopathe naturopathe 
naturopraticien naturopraticienne 
navigateur navigatrice 
nécromancien nécromancienne 
négociant négociante 
négociateur négociatrice 
néphrologue néphrologue 
nettoyeur nettoyeuse 
neurologue neurologue 
neutronicien neutronicienne 
nickeleur nickeleuse 
nitrureur nitrureuse 
nivologue nivologue 
paletteur paletteuse 
palettiseur palettiseuse 
palissonneur palissonneuse 
paludier paludière 
palynologue palynologue 
panseur panseuse 
pantograveur pantograveuse 
pantomime pantomime 
papetier papetière 
papillonneur papillonneuse 
parachutiste parachutiste 
parapentiste parapentiste 
parasitologue parasitologue 
pareur pareuse 
parfumeur parfumeuse 
parieur parieuse 
parlementaire parlementaire 
parolier parolière 
parqueteur parqueteuse 
parquetier parquetière 
parraineur parraineuse 
parurier parurière 
passementier passementière 
passeur passeuse 
pastelliste pastelliste 
pasteur pasteure
pasteurisateur pasteurisatrice 
pathologiste pathologiste 
patient patiente 
patineur patineuse 
pâtissier pâtissière 
patron patronne 
patronnier patronnière 
patronniste patronniste 
patrouilleur patrouilleuse 
paveur paveuse 
payeur payeuse 
paysagiste paysagiste 
P.D.G. P.D.G. 
péager péagère 
péagiste péagiste 
peaussier peaussière 
pêcheur pêcheuse 
pectiniculteur pectinicultrice 
pédagogue pédagogue 
pédiatre pédiatre 
pédicure pédicure 
pédodontiste pédodontiste 
pédologue pédologue 
pédopsychiatre pédopsychiatre 
peigneur peigneuse 
peintre peintre 
pèlerin pèlerine 
peleur peleuse 
pelleur pelleuse 
pelotonneur pelotonneuse 
pendulier pendulière 
pénicheur pénicheuse 
pénichier pénichière 
pénologue pénologue 
pépiniériste pépiniériste 
percepteur perceptrice 
perceur perceuse 
perchiste perchiste 
percussionniste percussionniste 
père abbé mère abbesse 
perforateur perforatrice 
perforeur perforeuse 
performeur performeuse 
permanent permanente 
permanentiste permanentiste 
perruquier perruquière 
peseur peseuse 
pétissier pétissière 
pétrisseur pétrisseuse 
pétrographe pétrographe 
pharmacien pharmacienne 
pharmacocinéticien pharmacocinéticienne 
pharmacologue pharmacologue 
philologue philologue 
philosophe philosophe 
phlébologue phlébologue 
phonéticien phonéticienne 
phoniatre phoniatre 
phonothécaire phonothécaire 
phosphateur phosphateuse 
photochimiste photochimiste 
photocompositeur photocompositrice 
photocopiste photocopiste 
photogrammètre photogrammètre 
photographe photographe 
photograveur photograveuse 
photoreproducteur photoreproductrice 
physicien physicienne 
physiologiste physiologiste 
physionomiste physionomiste 
pianiste pianiste 
picador picador 
piéceur piéceuse 
pierriste pierriste 
pigiste pigiste 
pilonnier pilonnière 
pilote pilote 
pipelinier pipelinière 
pipier pipière 
piqueur piqueuse 
piqurier piqurière 
pisciculteur piscicultrice 
piscinier piscinière 
pistard pistarde 
pisteur pisteuse 
pistoleteur pistoleteuse 
pistoleur pistoleuse 
pizzaïolo pizzaïola
placagiste placagiste
placeur placeuse 
placier placière 
plafonneur plafonneuse 
plagiste plagiste 
plaignant plaignante 
plancheur plancheuse 
planchiste planchiste 
planétologue planétologue 
planeur planeuse 
planificateur planificatrice 
planteur planteuse 
planton plantonne 
plaqueur plaqueuse 
plaquiste plaquiste 
plasticien plasticienne 
plastifieur plastifieuse 
plasturgiste plasturgiste 
plate-formiste plate-formiste 
plâtrier plâtrière 
plieur plieuse 
plombeur plombeuse 
plombier plombière 
plongeur plongeuse 
plumassier plumassière 
plumiste plumiste 
pneumaticien pneumaticienne 
pneumatiquier pneumatiquière 
pneumologue pneumologue 
pocheteur pocheteuse 
pocheur pocheuse 
podologue podologue 
poêlier poêlière 
poète poète poétesse 
poinçonneur poinçonneuse 
pointeur pointeuse 
poissonnier poissonnière 
policier policière 
polisseur polisseuse 
politicien politicienne 
politologue politologue 
polycopiste polycopiste 
polymériste polymériste 
polytechnicien polytechnicienne 
pomiculteur pomicultrice 
pomologue pomologue 
pompier pompière 
pompiste pompiste 
ponceur ponceuse 
pongiste pongiste 
pontier pontière 
pontonnier pontonnière 
populiculteur populicultrice 
porcelainier porcelainière 
porcher porchère 
porion porionne 
portefeuilliste portefeuilliste 
porte-parole porte-parole 
porteur porteuse 
portier portière 
portiqueur portiqueuse 
portraitiste portraitiste 
poseur poseuse 
postier postière 
postulant postulante 
potier potière 
poudrier poudrière 
pourvoyeur pourvoyeuse 
pousseur pousseuse 
poussin poussine 
praticien praticienne 
pratiquant pratiquante 
précepteur préceptrice 
prédicateur prédicatrice 
préfet préfète 
préleveur préleveuse 
preneur preneuse 
préparateur préparatrice 
préposé préposée 
présentateur présentatrice 
président présidente 
presseur presseuse 
pressier pressière 
prestidigitateur prestidigitatrice 
préventionniste préventionniste 
préventologue préventologue 
prévisionniste prévisionniste 
prieur prieure 
primatologue primatologue 
primeuriste primeuriste 
prince princesse 
principal principale 
priseur priseuse 
privé privée 
procureur procureure
producteur productrice 
professeur professeure
professionnel professionnelle 
profileur profileuse 
programmateur programmatrice 
programmeur programmeuse 
projectionniste projectionniste 
projeteur projeteuse 
promoteur promotrice 
proposeur proposeuse 
prospecteur prospectrice 
prospectiviste prospectiviste 
prostitué prostituée 
prote prote 
prothésiste prothésiste 
prototypiste prototypiste 
proviseur proviseure
prud’homme prudhomme prud’homme
prudhomme 
pruniculteur prunicultrice 
psychanalyste psychanalyste 
psychiatre psychiatre 
psychoclinicien psychoclinicienne 
psychologue psychologue 
psychométricien psychométricienne 
psychomotricien psychomotricienne 
psychopathologue psychopathologue 
publiciste publiciste 
publicitaire publicitaire 
puériculteur puéricultrice 
puisatier puisatière 
puiseur puiseuse 
pulpeur pulpeuse 
pupitreur pupitreuse 
purgeur purgeuse 
pyrotechnicien pyrotechnicienne 
quadrille quadrille 
qualiticien qualiticienne 
quartier-maitre quartier-maitre 
quenouilleur quenouilleuse 
questeur questrice 
questionneur questionneuse 
quincailler quincaillère 
rabatteur rabatteuse 
rabbin rabbine 
raboteur raboteuse 
raccommodeur raccommodeuse 
raccoutreur raccoutreuse 
radariste radariste 
radiesthésiste radiesthésiste 
radiologiste radiologiste 
radiologue radiologue 
radioprotectionniste radioprotectionniste 
raffineur raffineuse 
ragréeur ragréeuse 
ramasseur ramasseuse 
ramendeur ramendeuse 
rameur rameuse 
ramoneur ramoneuse 
rampiste rampiste 
randonneur randonneuse 
rapetasseur rapetasseuse 
râpeur râpeuse 
rapporteur rapporteuse 
rattacheur rattacheuse 
ravaleur ravaleuse 
ravaudeur ravaudeuse 
ravitailleur ravitailleuse 
raviveur raviveuse 
rayonneur rayonneuse 
réalisateur réalisatrice 
réanimateur réanimatrice 
réapprovisionneur réapprovisionneuse 
réassortisseur réassortisseuse 
rebobineur rebobineuse 
reboiseur reboiseuse 
rebouteur rebouteux rebouteuse 
rebrousseur rebrousseuse 
recenseur recenseuse 
récepteur réceptrice 
réceptionnaire réceptionnaire 
réceptionniste réceptionniste 
receveur receveuse 
réchappeur réchappeuse 
réchauffeur réchauffeuse 
recherchiste recherchiste 
recouvreur recouvreuse 
recruteur recruteuse 
recteur rectrice 
rectifieur rectifieuse 
recuiseur recuiseuse 
récupérateur récupératrice 
rédacteur rédactrice 
rédemptoriste rédemptoriste 
redresseur redresseuse 
rééducateur rééducatrice 
refendeur refendeuse 
réflexologiste réflexologiste 
réflexologue réflexologue 
régaleur régaleuse 
régent régente 
régisseur régisseuse 
régleur régleuse 
régulateur régulatrice 
relationniste relationniste 
relaxologue relaxologue 
releveur releveuse 
relieur relieuse 
religieux religieuse 
remailleur remailleuse 
rembobineur rembobineuse 
rembordeur rembordeuse 
rembourreur rembourreuse 
remmailleur remmailleuse 
remmouleur remmouleuse 
remolieur remolieuse 
remonteur remonteuse 
remorqueur remorqueuse 
rémouleur rémouleuse 
rempailleur rempailleuse 
remplaçant remplaçante 
remplieur remplieuse 
rentrayeur rentrayeuse 
rentreur rentreuse 
renvideur renvideuse 
réparateur réparatrice 
répartiteur répartitrice 
repasseur repasseuse 
reperceur reperceuse 
répétiteur répétitrice 
repiqueur repiqueuse 
répondant répondante
reporteur  reportrice 
reporteur  reporteuse 
repousseur repousseuse 
représentant représentante 
reproducteur reproductrice 
reprographe reprographe 
reprographiste reprographiste 
requérant requérante 
réserviste réserviste 
résinier résinière 
responsable responsable 
ressemeleur ressemeleuse 
ressortier ressortière 
restaurateur restauratrice 
restituteur restitutrice 
retailleur retailleuse 
retapeur retapeuse 
retordeur retordeuse 
retoucheur retoucheuse 
retraité retraitée 
réunisseur réunisseuse 
revendeur revendeuse 
révérend révérende 
revêtisseur revêtisseuse 
réviseur reviseur réviseuse reviseuse 
rhabilleur rhabilleuse 
rhéteur rhétrice 
rhodieur rhodieuse 
rhumatologue rhumatologue 
rinceur rinceuse 
ripeur ripeuse 
riveur riveuse 
riziculteur rizicultrice 
robinetier robinetière 
roboticien roboticienne 
rodeur rodeuse 
rogneur rogneuse 
roi reine
rollseur rollseuse 
romancier romancière 
rondier rondière 
rondisseur rondisseuse 
rosiériste rosiériste 
rotativiste rotativiste 
rotinier rotinière 
rôtisseur rôtisseuse 
rotomouleur rotomouleuse 
roulant roulante 
rouleur rouleuse 
roulottier roulottière 
routeur routeuse 
routier routière 
rubanier rubanière 
rudologue rudologue 
rugbyman joueuse de rugby 
sableur sableuse 
sabotier sabotière 
sabreur sabreuse 
sacochier sacochière 
sacrificateur sacrificatrice 
sacristain sacristine
safranier safranière 
saigneur saigneuse 
saisonnier saisonnière 
salaisonnier salaisonnière 
salésien salésienne 
saleur saleuse 
saliculteur salicultrice 
salinier salinière 
salmoniculteur salmonicultrice 
salonnier salonnière 
salpêtrier salpêtrière 
saltimbanque saltimbanque 
salutiste salutiste 
sampanier sampanière 
sandalier sandaliste 
santonnier santonnière 
sapeur sapeuse 
satineur satineuse 
saucier saucière 
saunier saunière 
sauveteur sauveteuse 
savant savante 
saxophoniste saxophoniste 
scannériste scannériste 
scanneuriste scanneuriste 
scaphandrier scaphandrière 
scénariste scénariste 
scénographe scénographe 
schlitteur schlitteuse 
scientifique scientifique 
scieur scieuse 
scripte scripte 
scrutateur scrutatrice 
sculpteur sculptrice sculpteur
sécheur sécheuse 
second seconde 
secoueur secoueuse 
secouriste secouriste 
secrétaire secrétaire 
sédimentologiste sédimentologiste 
séismologue séismologue 
sélectionneur sélectionneuse 
sellier sellière 
semencier semencière 
semoulier semoulière 
sénateur sénatrice 
sénior séniore
sergent sergente 
sériciculteur séricultrice 
sérigraphe sérigraphe 
sérologiste sérologiste 
serriste serriste 
serrurier serrurière 
sertisseur sertisseuse 
servant servante 
serveur serveuse 
sexologue sexologue 
shampouineur shampouineuse 
sidecariste sidecariste 
sidérurgiste sidérurgiste 
signaleur signaleuse 
signataire signataire 
significateur significatrice 
similiste similiste 
siropier siropière 
sismicien sismicienne 
sismologue sismologue 
sitologue sitologue 
skateur skateuse 
skieur skieuse 
skiffeur skiffeuse 
skippeur skippeuse 
sociologue sociologue 
socleur socleuse 
soignant soignante 
soigneur soigneuse 
soldat soldate 
solier solière 
soliste soliste 
sommelier sommelière 
sondeur sondeuse 
sonneur sonneuse 
sonorisateur sonorisatrice 
sophrologue sophrologue 
soprano soprano 
sorbonnier sorbonnière 
sortant sortante 
soudeur soudeuse 
souffleur souffleuse 
sourceur sourceuse 
sourcier sourcière 
souscripteur souscriptrice 
sous-traitant sous-traitante 
soutier soutière 
spationaute spationaute
spécialiste spécialiste 
spectographiste spectographiste 
spéléologue spéléologue 
spéléonaute spéléonaute
sportif sportive 
sprayeur sprayeuse 
staffeur staffeuse 
stagiaire stagiaire 
standardiste standardiste 
statigraphe statigraphe 
statisticien statisticienne 
statuaire statuaire 
stémiste stémiste 
sténographe sténographe 
sténotypiste sténotypiste 
stérilisateur stérilisatrice 
steward hôtesse 
stomatologiste stomatologiste 
stomatologue stomatologue 
stoppeur stoppeuse 
storiste storiste 
stratifieur stratifieuse 
stripteaseur stripteaseuse 
stucateur stucatrice 
stylicien stylicienne 
styliste styliste 
substitut substitute 
suiveur suiveuse 
sujet sujette 
supérieur supérieure 
superviseur superviseuse 
suppléant suppléante
supporteur supportrice 
surfaceur surfaceuse 
surfeur surfeuse 
surfileur surfileuse 
surjeteur surjeteuse 
surnuméraire surnuméraire 
surveillant surveillante 
survideur survideuse 
sylviculteur sylvicultrice 
syndic syndique 
synthétiseur synthétiseuse 
tabaculteur tabacultrice 
tableauteur tableauteuse 
tableautiste tableautiste 
tabletier tabletière 
tâcheron tâcheronne 
taillandier taillandière 
taille-doucier taille-doucière 
tailleur tailleuse 
takariste takariste 
talonneur talonneuse 
tamboureur tamboureuse 
tamisier tamisière 
tampographe tampographe 
tanneur tanneuse 
tapisseur tapisseuse 
tapissier tapissière 
taraudeur taraudeuse 
tarifeur tarifeuse 
tarificateur tarificatrice 
tatoueur tatoueuse 
taupier taupière 
taxateur taxatrice 
taxidermiste taxidermiste 
technicien technicienne 
techniverrier techniverrière 
technologiste technologiste 
technologue technologue 
tecticien tecticienne 
tectonicien tectonicienne 
teinturier teinturière 
téléacteur téléactrice 
télédétecteur télédétectrice 
télégraphiste télégraphiste 
télématicien télématicienne 
téléphoniste téléphoniste 
téléprospecteur téléprospectrice 
télétypiste télétypiste 
télévendeur télévendeuse 
télexiste télexiste 
telquelleur telquelleuse 
témoin témoin 
tenancier tenancière 
teneur teneuse 
terminologue terminologue 
terrassier terrassière 
tertiaire tertiaire 
testeur testeuse 
thanatologue thanatologue 
thanatopracteur thanatopractrice 
théâtrologue théâtrologue 
théologien théologienne 
thérapeute thérapeute 
thermicien thermicienne 
tickettier tickettière 
tierceur tierceuse 
timbalier timbalière 
timbreur timbreuse 
timonier timonière 
tireur tireuse 
tiseur tiseuse 
tisserand tisserande 
tisseur tisseuse 
titreur titreuse 
titrier titrière 
titulaire titulaire 
toiletteur toiletteuse 
toileur toileuse 
toilier toilière 
toiliste toiliste 
tôlier tôlière 
tondeur tondeuse 
tonnelier tonnelière 
topographe topographe 
topomètre topomètre 
tordeur tordeuse 
tordonneur tordonneuse 
toréador toréador 
torero torera
torréfacteur torréfactrice 
torsadeur torsadeuse 
toupilleur toupilleuse 
tourbier tourbière 
tourier tourière 
tournant tournante 
tourneur tourneuse 
tour opérateur tour opératrice 
toxicologue toxicologue 
traceur traceuse 
tractiste tractiste 
traducteur traductrice 
tragédien tragédienne 
traiteur traiteuse 
trameur trameuse 
traminot traminote 
trancheur trancheuse 
transfériste transfériste 
transformiste transformiste 
transitaire transitaire 
translaticien translaticienne 
transporteur transporteuse 
trapéziste trapéziste 
trappeur trappeuse 
trappiste trappistine
traumatologiste traumatologiste 
travailleur travailleuse 
trayeur trayeuse 
tréfileur tréfileuse 
treillageur treillageuse 
trekkeur trekkeuse 
trempeur trempeuse 
trésorier trésorière 
tresseur tresseuse 
treuilliste treuilliste 
tricoteur tricoteuse 
trieur trieuse 
tripier tripière 
troisième troisième 
tromboniste tromboniste 
trompette trompette 
trompettiste trompettiste 
tronçonneur tronçonneuse 
trufficulteur trufficultrice 
truiticulteur truiticultrice 
truquiste truquiste 
tuba tuba 
tueur tueuse 
tuilier tuilière 
tulliste tulliste 
turbineur turbineuse 
turbinier turbinière 
turfiste turfiste 
tuteur tutrice 
tuttiste tuttiste 
tuyauteur tuyauteuse 
typeur typeuse 
typographe typographe 
typomonteur typomonteuse 
ufologue ufologue 
ulmiste ulmiste 
universitaire universitaire 
upérisateur upérisatrice 
urbaniste urbaniste 
urbanologue urbanologue 
urgentiste urgentiste 
urologue urologue 
usager usagère 
usineur usineuse 
utilisateur utilisatrice 
vacataire vacataire 
vacher vachère 
vaguemestre vaguemestre 
vaisselier vaisselière 
valet valet
vannier vannière 
vaporisateur vaporisatrice 
varitypiste varitypiste 
varouleur varouleuse 
veilleur veilleuse 
velouteur velouteuse 
veloutier veloutière 
vendangeur vendangeuse 
vendeur vendeuse 
vendeur venderesse
vénérologiste vénérologiste
vénéréologiste vénéréologiste
vénérologue vénérologue
vénéréologue vénéréologue
vénériculteur vénéricultrice 
ventriloque ventriloque 
vergetier vergetière 
vérificateur vérificatrice 
vérifieur vérifieuse 
vernisseur vernisseuse 
verrier verrière 
vestiairiste vestiairiste 
vétéran vétérane 
vétérinaire vétérinaire 
vibraphoniste vibraphoniste 
vidangeur vidangeuse 
vidéaste vidéaste 
vidéographiste vidéographiste 
videur videuse 
vigneron vigneronne 
vinaigrier vinaigrière 
violoncelliste violoncelliste 
violoniste violoniste 
virologiste virologiste 
virologue virologue 
visagiste visagiste 
visiteur visiteuse 
viticulteur viticultrice 
vitrailliste vitrailliste 
vitrier vitrière 
vitrificateur vitrificatrice 
voilier voilière 
voiturier voiturière 
volailler volaillère 
volcanologue volcanologue 
volleyeur volleyeuse 
voltigeur voltigeuse 
voyageur voyageuse 
voyagiste voyagiste 
voyant voyante 
V.R.P. V.R.P. 
vulcanisateur vulcanisatrice 
vulcaniseur vulcaniseuse 
vulcanologue vulcanologue 
wagonnier wagonnière 
xylographe xylographe 
xylophoniste xylophoniste 
yogi yogi 
zingueur zingueuse 
zoneur zoneuse 
zoologiste zoologiste 
zootechnicien zootechnicienne
