Anno;ateco_UL_2007_2cifre;descriz_ateco_UL_2007_2cifre;ateco_UL_2007_5cifre;descriz_ateco_UL_2007-5cifre;N.unità locali;N.addetti_UL
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52102;Magazzini frigoriferi per conto terzi;6;14,33
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52211;Gestione di infrastrutture ferroviarie;26;1753,45
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52212;Gestione di strade, ponti, gallerie;1;7,75
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52214;Gestione di centri di movimentazione merci (interporti);1;1
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52215;Gestione di parcheggi e autorimesse;343;1125,71
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52216;Attività di traino e soccorso stradale;33;380,28
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52219;Altre attività connesse ai trasporti terrestri nca;128;836,61
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52220;Attività dei servizi connessi al trasporto marittimo e per vie d'acqua;24;57,92
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52230;Attività dei servizi connessi al trasporto aereo;47;294,1
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52241;Movimento merci relativo a trasporti aerei;4;12,51
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52242;Movimento merci relativo a trasporti marittimi e fluviali;1;1,42
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52243;Movimento merci relativo a trasporti ferroviari;21;505,58
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52244;Movimento merci relativo ad altri trasporti terrestri;312;8815,88
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52291;Spedizionieri e agenzie di operazioni doganali;163;1059,91
2007;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;52292;Intermediari dei trasporti;347;2703,42
2007;53;SERVIZI POSTALI E ATTIVITÀ DI CORRIERE;53100;Attività postali con obbligo di servizio universale;105;4843,12
2007;53;SERVIZI POSTALI E ATTIVITÀ DI CORRIERE;53200;Altre attività postali e di corriere senza obbligo di servizio universale;179;669,45
2007;55;ALLOGGIO;55100;Alberghi;622;8442,75
2007;55;ALLOGGIO;55201;Villaggi turistici;15;317,46
2007;55;ALLOGGIO;55202;Ostelli della gioventù;1;1,5
2007;55;ALLOGGIO;55203;Rifugi di montagna;2;2
2007;55;ALLOGGIO;55204;Colonie marine e montane;6;14,23
2007;55;ALLOGGIO;55205;Affittacamere per brevi soggiorni, case ed appartamenti per vacanze, bed and breakfast, residence;122;308,54
2007;55;ALLOGGIO;55300;Aree di campeggio e aree attrezzate per camper e roulotte;18;44,86
2007;55;ALLOGGIO;55901;Gestione di vagoni letto;2;133,36
2007;55;ALLOGGIO;55902;Alloggi per studenti e lavoratori con servizi accessori di tipo alberghiero;12;24,86
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56101;Ristorazione con somministrazione;2654;14910,42
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56102;Ristorazione senza somministrazione con preparazione di cibi da asporto;352;776,27
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56103;Gelaterie e pasticcerie;254;675,45
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56104;Ristorazione ambulante e gelaterie ambulanti;1;1
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56105;Ristorazione su treni e navi;4;43,2
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56210;Catering per eventi, banqueting;134;660,92
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56291;Mense;416;8301,66
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56292;Catering continuativo su base contrattuale;10;741,45
2007;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;56300;Bar e altri esercizi simili senza cucina;3816;10847,47
2007;58;ATTIVITÀ EDITORIALI;58110;Edizione di libri;378;2612,75
2007;58;ATTIVITÀ EDITORIALI;58120;Pubblicazione di elenchi e mailing list;2;148,57
2007;58;ATTIVITÀ EDITORIALI;58130;Edizione di quotidiani;50;2979,65
2007;58;ATTIVITÀ EDITORIALI;58140;Edizione di riviste e periodici;614;5658,75
2007;58;ATTIVITÀ EDITORIALI;58190;Altre attività editoriali;131;368,56
2007;58;ATTIVITÀ EDITORIALI;58210;Edizione di giochi per computer;3;7,95
2007;58;ATTIVITÀ EDITORIALI;58290;Edizione di altri software a pacchetto (esclusi giochi per computer);44;432,5
2007;59;ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE;59110;Attività di produzione cinematografica, di video e di programmi televisivi;608;2906,39
2007;59;ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE;59120;Attività di post-produzione cinematografica, di video e di programmi televisivi;70;229,79
2007;59;ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE;59130;Attività di distribuzione cinematografica, di video e di programmi televisivi;52;324,97
2007;59;ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE;59140;Attività di proiezione cinematografica;50;270,15
2007;59;ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE;59201;Edizione di registrazioni sonore;130;514,54
2007;59;ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE;59203;Studi di registrazione sonora;4;43,75
2007;60;ATTIVITÀ DI PROGRAMMAZIONE E TRASMISSIONE;60100;Trasmissioni radiofoniche;98;643,38
2007;60;ATTIVITÀ DI PROGRAMMAZIONE E TRASMISSIONE;60200;Programmazione e trasmissioni televisive;51;3196,77
2007;61;TELECOMUNICAZIONI;61100;Telecomunicazioni fisse;66;8785,2
2007;61;TELECOMUNICAZIONI;61200;Telecomunicazioni mobili;11;2821,49
2007;61;TELECOMUNICAZIONI;61300;Telecomunicazioni satellitari;2;31,01
2007;61;TELECOMUNICAZIONI;61901;Erogazione di servizi di accesso ad internet (ISP);28;118,48
2007;61;TELECOMUNICAZIONI;61902;Posto telefonico pubblico ed internet Point;76;121,39
2007;61;TELECOMUNICAZIONI;61909;Altre attività connesse alle telecomunicazioni;255;739,38
2007;62;PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE;62010;Produzione di software non connesso all'edizione;2124;16163,76
2007;62;PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE;62020;Consulenza nel settore delle tecnologie dell'informatica;1241;5282,44
2007;62;PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE;62030;Gestione di strutture e apparecchiature informatiche hardware (housing), esclusa la riparazione;357;2143,45
2007;62;PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE;62090;Altre attività dei servizi connessi alle tecnologie dell'informatica;676;2255,43
2007;63;ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI;63111;Elaborazione dati;1747;10474,75
2007;63;ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI;63112;Gestione database (attività delle banche dati);104;812,45
2007;63;ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI;63113;Hosting e fornitura di servizi applicativi (ASP);355;814,75
2007;63;ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI;63120;Portali web;92;499,47
2007;63;ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI;63910;Attività delle agenzie di stampa;15;258,41
2007;63;ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI;63990;Altre attività dei servizi di informazione nca;119;335,4
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64110;Attività della Banca centrale;2;212,83
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64191;Intermediazione monetaria di istituti monetari diverse dalle Banche centrali;1090;34066,65
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64193;Istituti di moneta elettronica (Imel);1;4
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64200;Attività delle società di partecipazione (holding);81;1787,91
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64301;Fondi comuni di investimento (aperti e chiusi, immobiliari, di mercato mobiliare);4;199,74
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64910;Leasing finanziario;60;1469,02
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64920;Altre attività creditizie;248;4892,5
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64991;Attività di intermediazione mobiliare;87;1654,29
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64992;Attività di factoring;54;1058,66
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64994;Attività delle società veicolo;17;186,05
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64995;Attività di intermediazione in cambi;1;1
2007;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);64996;Altre intermediazioni finanziarie nca;732;2119,28
2007;65;ASSICURAZIONI, RIASSICURAZIONI E FONDI PENSIONE, ESCLUSE LE ASSICURAZIONI SOCIALI OBBLIGATORIE;65110;Assicurazioni sulla vita;53;2231,55
2007;65;ASSICURAZIONI, RIASSICURAZIONI E FONDI PENSIONE, ESCLUSE LE ASSICURAZIONI SOCIALI OBBLIGATORIE;65120;Assicurazioni diverse da quelle sulla vita;132;9397,43
2007;65;ASSICURAZIONI, RIASSICURAZIONI E FONDI PENSIONE, ESCLUSE LE ASSICURAZIONI SOCIALI OBBLIGATORIE;65200;Attività di riassicurazione;3;155
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66110;Amministrazione di mercati finanziari;7;553,97
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66120;Attività di negoziazione di contratti relativi a titoli e merci;28;338,69
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66192;Attività di promotori e mediatori finanziari;1083;1744,04
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66193;Attività delle società fiduciarie di amministrazione;3;47,33
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66195;Servizi di trasferimento di denaro (money transfer);20;155,09
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66210;Attività dei periti e liquidatori indipendenti delle assicurazioni;248;984,42
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66220;Attività degli agenti e broker delle assicurazioni;1149;5219,56
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66290;Altre attività ausiliarie delle assicurazioni e dei fondi pensione;78;346,5
2007;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;66300;Gestione di fondi comuni di investimento e dei fondi pensione;136;3332,25
2007;68;ATTIVITÀ IMMOBILIARI;68100;Compravendita di beni immobili effettuata su beni propri;2641;4015,79
2007;68;ATTIVITÀ IMMOBILIARI;68200;Affitto e gestione di immobili di proprietà o in leasing;11098;16551,37
2007;68;ATTIVITÀ IMMOBILIARI;68310;Attività di mediazione immobiliare;1896;3436,98
2007;68;ATTIVITÀ IMMOBILIARI;68320;Amministrazione di condomini e gestione di beni immobili per conto terzi;873;2517,05
2007;69;ATTIVITÀ LEGALI E CONTABILITÀ;69101;Attività degli studi legali;10574;15347,83
2007;69;ATTIVITÀ LEGALI E CONTABILITÀ;69102;Attività degli studi notarili;279;2033,73
2007;69;ATTIVITÀ LEGALI E CONTABILITÀ;69201;Attività degli studi commerciali, tributari e revisione contabile;6459;14477,64
2007;69;ATTIVITÀ LEGALI E CONTABILITÀ;69202;Attività delle società di revisione e certificazione di bilanci;17;2440,24
2007;69;ATTIVITÀ LEGALI E CONTABILITÀ;69203;Attività dei consulenti del lavoro;440;1138,67
2007;70;ATTIVITÀ DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE;70100;Attività delle holding impegnate nelle attività gestionali (holding operative);262;4628,39
2007;70;ATTIVITÀ DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE;70210;Pubbliche relazioni e comunicazione;1360;2973,05
2007;70;ATTIVITÀ DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE;70220;Consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;5264;18070,44
2007;71;"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE";71110;Attività degli studi di architettura;4588;5195,12
2007;71;"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE";71121;Attività degli studi di ingegneria;1690;2835,19
2007;71;"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE";71122;Servizi di progettazione di ingegneria integrata;559;4212,82
2007;71;"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE";71123;Attività tecniche svolte da geometri;618;781,62
2007;71;"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE";71124;Attività di cartografia e aerofotogrammetria;23;75,42
2007;71;"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE";71125;Attività di studio geologico e di prospezione geognostica e mineraria;61;160,56
2007;71;"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE";71201;Collaudi e analisi tecniche di prodotti;104;248,92
2007;71;"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE";71202;Controllo di qualità e certificazione di prodotti, processi e sistemi;187;1171,31
2007;72;RICERCA SCIENTIFICA E SVILUPPO;72110;Ricerca e sviluppo sperimentale nel campo delle biotecnologie;49;203,37
2007;72;RICERCA SCIENTIFICA E SVILUPPO;72190;Altre attività di ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria;344;1950,81
2007;72;RICERCA SCIENTIFICA E SVILUPPO;72200;Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche;314;441,47
2007;73;PUBBLICITÀ E RICERCHE DI MERCATO;73110;Agenzie pubblicitarie;2340;9411,54
2007;73;PUBBLICITÀ E RICERCHE DI MERCATO;73120;Attività delle concessionarie pubblicitarie;392;2265,83
2007;73;PUBBLICITÀ E RICERCHE DI MERCATO;73200;Ricerche di mercato e sondaggi di opinione;1056;5089,97
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74101;Attività di design di moda e design industriale;1008;2944,8
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74102;Attività dei disegnatori grafici;940;1464,47
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74103;Attività dei disegnatori tecnici;241;266,3
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74109;Altre attività di design;256;324,12
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74201;Attività di riprese fotografiche;1056;1389,37
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74202;Laboratori fotografici per lo sviluppo e la stampa;137;400,45
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74300;Traduzione e interpretariato;693;846,25
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74901;Consulenza agraria;85;93,83
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74902;Consulenza in materia di sicurezza;199;392,49
2007;74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;74909;Altre attività professionali, scientifiche e tecniche nca;4719;8372,84
2007;75;SERVIZI VETERINARI;75000;Servizi veterinari;388;446,74
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77110;Noleggio di autovetture ed autoveicoli leggeri;103;514,62
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77120;Noleggio di autocarri e di altri veicoli pesanti;5;14,19
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77210;Noleggio di attrezzature sportive e ricreative;9;11
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77220;Noleggio di videocassette, CD, DVD e dischi contenenti audiovisivi o videogame;100;369,48
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77291;Noleggio di biancheria da tavola, da letto, da bagno e di articoli di vestiario;9;15,02
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77299;Noleggio di altri beni per uso personale e domestico nca (escluse le attrezzature sportive e ricreative);26;313,08
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77310;Noleggio di macchine e attrezzature agricole;1;2
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77320;Noleggio di macchine e attrezzature per lavori edili e di genio civile;36;115,41
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77330;Noleggio di macchine e attrezzature per ufficio (inclusi i computer);46;253,38
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77340;Noleggio di mezzi di trasporto marittimo e fluviale;53;85,32
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77350;Noleggio di mezzi di trasporto aereo;20;30,52
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77391;Noleggio di altri mezzi di trasporto terrestri;7;27,83
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77399;Noleggio di altre macchine e attrezzature;154;469,94
2007;77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO;77400;Concessione dei diritti di sfruttamento di proprietà intellettuale e prodotti simili (escluse le opere protette dal copyright);7;9,5
2007;78;ATTIVITÀ DI RICERCA, SELEZIONE, FORNITURA DI PERSONALE;78100;Servizi di ricerca, selezione, collocamento e supporto per il ricollocamento di personale;368;1193,57
2007;78;ATTIVITÀ DI RICERCA, SELEZIONE, FORNITURA DI PERSONALE;78200;Attività delle agenzie di fornitura di lavoro temporaneo (interinale);159;23964,8
2007;78;ATTIVITÀ DI RICERCA, SELEZIONE, FORNITURA DI PERSONALE;78300;Altre attività di fornitura e gestione di risorse umane (staff leasing);3;651,16
2007;79;ATTIVITÀ DEI SERVIZI DELLE AGENZIE DI VIAGGIO, DEI TOUR OPERATOR E SERVIZI DI PRENOTAZIONE E ATTIVITÀ CONNESSE;79110;Attività delle agenzie di viaggio;500;2852,52
2007;79;ATTIVITÀ DEI SERVIZI DELLE AGENZIE DI VIAGGIO, DEI TOUR OPERATOR E SERVIZI DI PRENOTAZIONE E ATTIVITÀ CONNESSE;79120;Attività dei tour operator;200;2014,62
2007;79;ATTIVITÀ DEI SERVIZI DELLE AGENZIE DI VIAGGIO, DEI TOUR OPERATOR E SERVIZI DI PRENOTAZIONE E ATTIVITÀ CONNESSE;79901;Altri servizi di prenotazione e altre attività di assistenza turistica non svolte dalle agenzie di viaggio;71;216,65
2007;79;ATTIVITÀ DEI SERVIZI DELLE AGENZIE DI VIAGGIO, DEI TOUR OPERATOR E SERVIZI DI PRENOTAZIONE E ATTIVITÀ CONNESSE;79902;Attività delle guide e degli accompagnatori turistici;70;85,49
2007;80;SERVIZI DI VIGILANZA E INVESTIGAZIONE;80100;Servizi di vigilanza privata;104;5907,24
2007;80;SERVIZI DI VIGILANZA E INVESTIGAZIONE;80200;Servizi connessi ai sistemi di vigilanza;3;73,02
2007;80;SERVIZI DI VIGILANZA E INVESTIGAZIONE;80300;Servizi di investigazione privata;89;338,03
2007;81;ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO;81100;Servizi integrati di gestione agli edifici;17;892,46
2007;81;ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO;81210;Pulizia generale (non specializzata) di edifici;1717;24470,07
2007;81;ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO;81220;Attività di pulizia specializzata di edifici e di impianti e macchinari industriali;36;981,99
2007;81;ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO;81291;Servizi di disinfestazione;51;209,74
2007;81;ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO;81299;Altre attività di pulizia;80;266,4
2007;81;ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO;81300;Cura e manutenzione del paesaggio compresi parchi, giardini e aiuole;77;147,7
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82110;"Servizi integrati di supporto per le funzioni d'ufficio; uffici-residence";90;199,49
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82190;Servizi di fotocopiatura, preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio;387;1267,27
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82200;Attività dei call center;95;2153,14
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82300;Organizzazione di convegni e fiere;697;2355,48
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82911;Attività di agenzie di recupero crediti;135;645,96
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82912;Agenzie di informazioni commerciali;144;691,47
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82921;Imballaggio e confezionamento di generi alimentari;8;57,96
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82922;Confezionamento di generi non alimentari;85;1011,31
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82991;Imprese di gestione esattoriale;9;212,61
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82992;Agenzie di distribuzione di libri, giornali e riviste;48;447,05
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82993;Servizi di gestione di pubblici mercati e pese pubbliche;12;91,33
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82994;Richiesta certificati e disbrigo pratiche;231;693,75
2007;82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE;82999;Altri servizi di supporto alle imprese nca;5796;10697,02
2007;85;ISTRUZIONE;85100;Istruzione di grado preparatorio: scuole dell'infanzia, scuole speciali collegate a quelle primarie;81;478,63
2007;85;ISTRUZIONE;85200;Istruzione primaria: scuole elementari;21;428,86
2007;85;ISTRUZIONE;85311;Istruzione secondaria di primo grado: scuole medie;3;90,5
2007;85;ISTRUZIONE;85312;Istruzione secondaria di secondo grado di formazione generale: licei;9;259,34
2007;85;ISTRUZIONE;85320;Istruzione secondaria di secondo grado di formazione tecnica, professionale e artistica (istituti tecnici, professionali, artistici eccetera);52;361,56
2007;85;ISTRUZIONE;85410;Istruzione e formazione tecnica superiore (IFTS);5;15,06
2007;85;ISTRUZIONE;85420;"Istruzione universitaria e post-universitaria; accademie e conservatori";2;44
2007;85;ISTRUZIONE;85510;Corsi sportivi e ricreativi;208;248,59
2007;85;ISTRUZIONE;85520;Formazione culturale;107;155,62
2007;85;ISTRUZIONE;85530;Autoscuole, scuole di pilotaggio e nautiche;110;237,11
2007;85;ISTRUZIONE;85592;Corsi di formazione e corsi di aggiornamento professionale;459;1130,43
2007;85;ISTRUZIONE;85593;Scuole e corsi di lingua;92;392,6
2007;85;ISTRUZIONE;85599;Altri servizi di istruzione nca;283;466,56
2007;85;ISTRUZIONE;85600;Attività di supporto all'istruzione;10;10,08
2007;86;ASSISTENZA SANITARIA;86101;Ospedali e case di cura generici;25;2940,53
2007;86;ASSISTENZA SANITARIA;86102;Ospedali e case di cura specialistici;20;1889,51
2007;86;ASSISTENZA SANITARIA;86104;Ospedali e case di cura per lunga degenza;12;126,8
2007;86;ASSISTENZA SANITARIA;86210;Servizi degli studi medici di medicina generale;1687;1907,34
2007;86;ASSISTENZA SANITARIA;86220;Studi medici specialistici e poliambulatori;3521;4361,89
2007;86;ASSISTENZA SANITARIA;86230;Attività degli studi odontoiatrici;1956;4015,65
